my_query,gold_answer,context_passage
What caused WWI?,Assassination of Archduke Franz Ferdinand,World War I began in 1914 following the assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo. This triggered a chain of alliances leading to a global conflict.
What is photosynthesis?,Process plants use to make food from sunlight,Plants convert CO2 and water into glucose using sunlight through a process called photosynthesis. This occurs in the chloroplasts of plant cells.
What is the capital of France?,Paris,France is a country in Western Europe. Its capital and largest city is Paris located in the north of the country along the Seine river.
Who invented the telephone?,Alexander Graham Bell,The telephone was invented by Alexander Graham Bell in 1876. Bell received the first patent for an electrical voice transmission device and made the first successful telephone call.
What is the boiling point of water?,100 degrees Celsius,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard atmospheric pressure. The boiling point decreases at higher altitudes where pressure is lower.
Who wrote Romeo and Juliet?,William Shakespeare,Romeo and Juliet is a tragedy written by William Shakespeare around 1594-1596. It tells the story of two young star-crossed lovers from feuding families in Verona.
What is the speed of light?,299792458 meters per second,Light travels at approximately 299792458 meters per second in a vacuum. This fundamental constant is denoted by the letter c and plays a key role in Einstein's theory of relativity.
What is the largest planet in the solar system?,Jupiter,Jupiter is the largest planet in our solar system with a mass more than twice that of all other planets combined. It is a gas giant composed mainly of hydrogen and helium.
Who painted the Mona Lisa?,Leonardo da Vinci,The Mona Lisa is a half-length portrait painting by the Italian Renaissance artist Leonardo da Vinci. It was created between 1503 and 1519 and is housed in the Louvre Museum in Paris.
What is the chemical formula for water?,H2O,Water is a molecule composed of two hydrogen atoms and one oxygen atom giving it the chemical formula H2O. It is essential for all known forms of life on Earth.
What year did World War II end?,1945,World War II ended in 1945 with the surrender of Nazi Germany in May and Imperial Japan in September. The war was the deadliest conflict in human history.
What is the tallest mountain in the world?,Mount Everest,Mount Everest located in the Himalayas on the border between Nepal and Tibet is the tallest mountain in the world with a peak at 8848 meters above sea level.
Who discovered gravity?,Isaac Newton,Isaac Newton formulated the law of universal gravitation in 1687 after observing an apple falling from a tree. His work explained why objects fall and how planets orbit the sun.
What is the powerhouse of the cell?,Mitochondria,The mitochondria are organelles found in eukaryotic cells that generate most of the cell's energy in the form of ATP. They are often called the powerhouse of the cell.
What is the largest ocean?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth covering more than 165 million square kilometers. It spans from the Arctic to the Antarctic and from Asia to the Americas.
Who invented the light bulb?,Thomas Edison,Thomas Edison invented a practical incandescent light bulb in 1879 after extensive experimentation. He developed a high-resistance carbon filament that could burn for many hours.
What is the chemical symbol for gold?,Au,Gold has the chemical symbol Au derived from the Latin word aurum. It is a dense shiny yellow precious metal that has been valued throughout human history.
