question,answer
What is the speed of light?,299792458 meters per second
Who wrote Hamlet?,William Shakespeare
What is the chemical symbol for gold?,Au
What planet is closest to the sun?,Mercury
How many bones are in the adult human body?,206
What is the capital of France?,Paris
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest ocean on Earth?,Pacific Ocean
How many sides does a hexagon have?,6
What is the boiling point of water in Celsius?,100
Who invented the telephone?,Alexander Graham Bell
What is the smallest planet in the solar system?,Mercury
What year did World War II end?,1945
What is the chemical formula for water?,H2O
Who was the first person to walk on the moon?,Neil Armstrong
What is the longest river in the world?,Nile
What is the hardest natural substance on Earth?,Diamond
How many continents are there on Earth?,7
What is the currency of Japan?,Yen
Who wrote Pride and Prejudice?,Jane Austen
What is the square root of 144?,12
What is the capital of Germany?,Berlin
How many planets are in the solar system?,8
What gas do plants absorb during photosynthesis?,Carbon dioxide
Who discovered penicillin?,Alexander Fleming
What is the largest country by area?,Russia
What is the atomic number of carbon?,6
Who was the first President of the United States?,George Washington
What is the capital of Australia?,Canberra
What is 15 percent of 200?,30
What is the tallest mountain in the world?,Mount Everest
Who invented the light bulb?,Thomas Edison
What is the chemical symbol for silver?,Ag
What year did the Titanic sink?,1912
How many hours are in a day?,24
What is the capital of Canada?,Ottawa
Who wrote 1984?,George Orwell
What is the speed of sound in air at sea level?,343 meters per second
What is the largest continent?,Asia
What is the powerhouse of the cell?,Mitochondria
Who invented the internet?,Tim Berners-Lee
What is the capital of Brazil?,Brasilia
What is the chemical symbol for iron?,Fe
How many minutes are in a day?,1440
Who composed the Fifth Symphony?,Ludwig van Beethoven
What is the largest organ in the human body?,Skin
What year did man first land on the moon?,1969
What is the capital of China?,Beijing
How many chambers does the human heart have?,4
What is the square root of 256?,16
Who wrote Romeo and Juliet?,William Shakespeare
What is the chemical symbol for oxygen?,O
What is the capital of India?,New Delhi
How many bones are in the human skull?,22
Who painted the Sistine Chapel ceiling?,Michelangelo
What is the nearest star to Earth?,Sun
What year was the Declaration of Independence signed?,1776
What is the capital of Russia?,Moscow
How many teeth does an adult human have?,32
What is 25 percent of 400?,100
Who invented the steam engine?,James Watt
What is the chemical symbol for nitrogen?,N
What is the capital of Japan?,Tokyo
What is the largest planet in the solar system?,Jupiter
Who wrote The Great Gatsby?,F. Scott Fitzgerald
How many millimeters are in a centimeter?,10
What year did the Berlin Wall fall?,1989
What is the chemical symbol for sodium?,Na
What is the capital of Egypt?,Cairo
How many legs does a spider have?,8
Who discovered gravity?,Isaac Newton
What is the boiling point of water in Fahrenheit?,212
What is the capital of South Korea?,Seoul
How many bones does a shark have?,0
Who wrote Don Quixote?,Miguel de Cervantes
What is the chemical symbol for helium?,He
What is the capital of Mexico?,Mexico City
What is the speed of Earth's rotation at the equator?,1674 kilometers per hour
Who invented the airplane?,Wright Brothers
How many chromosomes do humans have?,46
What is the capital of Argentina?,Buenos Aires
