rank,model_id,provider,answer_match,avg_latency_ms,cost_per_sample_usd,num_samples,error_rate
1,llama-3.1-8b-groq,groq,0.7205,2582.9,1.89e-05,1,0
2,mistral-large-2,mistral,0.4723,8946.05,0.0003496,24,0.875
3,gpt-4o-mini,openai,0.3768,3015.15,0.0001213,2,0
4,claude-sonnet-4-6,anthropic,0.281,8762.93,0.0069652,19,0
5,claude-haiku-4-5,anthropic,0.2752,4305.91,0.0024165,19,0
6,mistral-medium-3,mistral,0.261,5132.52,0.0005654,24,0
7,gpt-4-turbo,openai,0.2595,11106.28,0.0137471,24,0
8,ministral-8b,mistral,0.2478,3762.58,0.0,24,0
9,gpt-4o,openai,0.2421,4603.1,0.0037897,24,0
10,mistral-small,mistral,0.2094,3420.04,9.61e-05,24,0.3333
11,magistral-small,mistral,0.1878,3342.34,0.0,24,0.3333
12,gpt-oss-120b-groq,groq,0.1547,7511.81,0.0,24,0.625
13,qwen3-27b-groq,groq,0.1545,5966.14,0.0,24,0.5833
14,gpt-oss-20b-groq,groq,0.1429,5261.24,0.0,24,0.7083
15,gemini-2.5-flash,google,0.0,2275.62,4.85e-05,4,0
16,o3-mini,openai,0.0,2811.2,0.0023804,24,0
